address,best,bin,building_id,building_name,distance_m,district,footprint_area,footprint_verts,height_source,is_context,lat,lod_tier,lon,min_height,osm_building_type,osm_id,osm_levels,osm_type,postcode,roof_height,second,x_m,y_m
,0.084,1089985,42,,38.8,Financial District,2071.6,45,tag,0,40.7014654,block,-74.0131736,4.5,roof,213847700,1,way,,5.0,0.024,-3807.87,-8683.88
,0.357,1079573,55,,18.5,Tribeca / Civic Center,67.1,5,tag,0,40.7193914,block,-73.999412,0.0,yes,247867315,,way,,4.9,0.346,-2647.84,-6701.73
143 Grand Street,0.968,1003046,108,,1.0,Tribeca / Civic Center,135.8,5,tag,0,40.7200582,block,-73.9995945,0.0,yes,247892558,,way,10013,14.8,0.936,-2663.23,-6628.01
123 Allen Street,0.783,1005493,118,,9.2,Tribeca / Civic Center,119.5,4,tag,0,40.7198506,block,-73.9904165,0.0,yes,248757275,,way,10002,17.0,0.75,-1889.58,-6650.96
2 Centre Market Place,0.988,1006955,171,,0.9,Tribeca / Civic Center,87.0,4,tag,0,40.7198449,block,-73.9976918,0.0,yes,248770161,,way,10013,14.0,0.931,-2502.84,-6651.59
,0.713,1003073,196,,19.0,Tribeca / Civic Center,109.2,5,tag,0,40.7191999,block,-73.9974951,0.0,yes,248770186,,way,,10.9,0.678,-2486.26,-6722.91
87 Elizabeth Street,0.801,1079595,244,,7.3,Tribeca / Civic Center,210.2,4,tag,0,40.7182731,block,-73.9962088,0.0,yes,248770349,,way,10013,28.9,0.749,-2377.84,-6825.39
157 Bowery,0.826,1005656,364,,8.4,Tribeca / Civic Center,181.9,4,tag,0,40.7195162,block,-73.994026,0.0,yes,248771318,,way,10002,10.6,0.823,-2193.84,-6687.94
245 Grand Street,0.92,1003933,373,,1.9,Tribeca / Civic Center,271.2,5,tag,0,40.7180375,block,-73.9944001,0.0,yes,248771328,,way,10002,20.5,0.891,-2225.37,-6851.45
,0.599,1084895,430,,10.8,Tribeca / Civic Center,88.4,5,tag,0,40.7197108,block,-73.9898036,0.0,yes,248772245,,way,,6.9,0.593,-1837.91,-6666.42
,0.777,1066636,432,,13.0,Tribeca / Civic Center,91.1,4,tag,0,40.7202538,block,-73.9893851,0.0,yes,248772276,,way,,16.8,0.736,-1802.63,-6606.38
,0.82,1079077,439,,4.3,Tribeca / Civic Center,222.7,4,tag,0,40.7196678,block,-73.9896579,0.0,yes,248772303,,way,,20.3,0.778,-1825.63,-6671.18
,0.482,1066636,440,,12.8,Tribeca / Civic Center,20.6,5,tag,0,40.7201455,block,-73.9895363,0.0,yes,248772304,,way,,4.2,0.47,-1815.38,-6618.35
,0.898,1005504,443,,2.0,Tribeca / Civic Center,206.7,4,tag,0,40.7197628,block,-73.989657,0.0,yes,248772308,,way,,17.1,0.877,-1825.56,-6660.67
107 Mott Street,0.709,1079539,625,,23.2,Tribeca / Civic Center,61.9,4,tag,0,40.7174468,block,-73.9975412,0.0,yes,249847586,,way,10013,8.0,0.675,-2490.15,-6916.76
76 Bowery,0.845,1002610,674,,8.4,Tribeca / Civic Center,240.8,4,tag,0,40.7168682,block,-73.9960846,0.0,yes,249847638,,way,10013,25.9,0.815,-2367.36,-6980.74
119 Mott Street,0.803,1002641,701,,8.5,Tribeca / Civic Center,133.0,5,tag,0,40.7178366,block,-73.9973443,0.0,yes,249847668,,way,10013,16.6,0.793,-2473.55,-6873.66
126 Baxter Street,0.703,1002667,723,Art gallery,8.7,Tribeca / Civic Center,87.8,4,tag,0,40.7182159,block,-73.9990908,0.0,yes,249847704,,way,10013,15.9,0.681,-2620.77,-6831.72
,0.732,1077449,823,,4.2,Financial District,211.3,5,tag,0,40.7157454,block,-73.9992197,0.0,yes,249848327,,way,,16.6,0.723,-2631.64,-7104.88
20 Harrison Street,0.989,1002071,883,,0.9,Tribeca / Civic Center,138.6,4,tag,0,40.7189286,block,-74.0097952,0.0,yes,250051486,,way,10013,17.1,0.93,-3523.09,-6752.91
177 West Broadway,0.899,1001966,971,,7.5,Tribeca / Civic Center,111.1,5,tag,0,40.7178432,block,-74.0070826,0.0,yes,250052675,,way,10013,9.2,0.853,-3294.44,-6872.93
118 Rivington Street,0.965,1004322,1054,,0.9,Tribeca / Civic Center,135.3,4,tag,0,40.7199291,block,-73.9872579,0.0,yes,250266540,,way,10002,4.8,0.927,-1623.33,-6642.27
139 Norfolk Street,0.97,1004315,1061,,1.1,Tribeca / Civic Center,183.2,10,tag,0,40.720141,block,-73.9867272,0.0,yes,250266554,,way,10002,16.3,0.911,-1578.59,-6618.84
104 Delancey Street,0.746,1075628,1067,Mount Sinai Doctors,12.7,Tribeca / Civic Center,346.2,4,tag,0,40.7189953,block,-73.9885696,0.0,yes,250266726,3,way,10002,10.1,0.73,-1733.89,-6745.53
113 Norfolk Street,0.685,1087047,1081,,4.5,Tribeca / Civic Center,140.5,4,tag,0,40.7191701,block,-73.987208,0.0,yes,250266754,,way,10002,21.7,0.66,-1619.12,-6726.2
121 Essex Street,0.989,1005332,1088,The Whiskey Ward,0.9,Tribeca / Civic Center,106.6,5,tag,0,40.7196519,block,-73.9878918,0.0,yes,250266762,,way,10002,17.6,0.931,-1676.76,-6672.93
156 Canal Street,0.795,1077409,1129,,4.5,Tribeca / Civic Center,185.4,6,tag,0,40.7161916,block,-73.9968135,0.0,yes,250266932,,way,10013,11.0,0.737,-2428.8,-7055.55
