address,bbl,bbl_source,bin,building_id,building_name,district,footprint_area,footprint_verts,height_source,is_context,lat,lod_tier,lon,match_area_ratio,match_confidence,match_distance_m,min_height,osm_building_type,osm_id,osm_levels,osm_type,postcode,roof_height,x_m,y_m
,,,,39,,Financial District,129.7,4,tag,0,40.7006425,block,-74.0125084,,none,,0.0,roof,213847694,,way,,12.0,-3751.79,-8774.87
,,,,40,,Financial District,126.7,4,tag,0,40.7005508,block,-74.01302,,none,,0.0,roof,213847696,,way,,12.0,-3794.92,-8785.02
,,,,41,,Financial District,122.5,4,tag,0,40.7005207,block,-74.0133886,,none,,0.0,roof,213847698,,way,,12.0,-3825.99,-8788.35
115 White Street,,,,809,Manhattan Detention Complex,Tribeca / Civic Center,1526.9,6,tag,0,40.716517,district,-74.0004646,,none,,0.0,yes,249848311,,way,10013,71.5,-2736.57,-7019.57
,,,,818,,Tribeca / Civic Center,31.6,4,zone_model,0,40.7163743,block,-74.000574,,none,,0.0,yes,249848321,,way,,11.97,-2745.79,-7035.35
365 South End Avenue,,,,1919,Gateway Plaza 300,Financial District,967.2,9,tag,0,40.7107124,block,-74.0175235,,none,,0.0,yes,277921806,7,way,10280,21.0,-4174.54,-7661.41
,,,,3023,,Financial District,483.7,8,tag,0,40.7123603,block,-73.9880296,,none,,0.0,yes,278255080,,way,,22.7,-1688.38,-7479.19
,,,,3521,,Financial District,235.9,28,tag,0,40.7051153,district,-73.9894358,,none,,0.0,yes,317352033,,way,,102.0,-1806.91,-8280.3
,,,,3535,,Financial District,26.2,4,zone_model,0,40.7026757,block,-74.0097879,,none,,0.0,yes,371854420,,way,,36.26,-3522.48,-8550.06
,,,,3560,,Financial District,16.6,4,tag,0,40.7123911,block,-74.002397,,none,,0.0,yes,410300728,1,way,,3.0,-2899.47,-7475.78
,,,,3572,,Financial District,74.1,4,tag,0,40.7046374,block,-74.0135461,,none,,0.0,roof,576056547,1,way,,4.0,-3839.27,-8333.15
