relative_path,filename,suggested_family,duplicate_group_size,size_bytes,source_commit,review_status
SourceAssets/Animations/Raw/Unverified/180 Turn W_ Briefcase (1).fbx,180 Turn W_ Briefcase (1).fbx,locomotion,2,446832,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/180 Turn W_ Briefcase.fbx,180 Turn W_ Briefcase.fbx,locomotion,2,444128,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/2hand Idle.fbx,2hand Idle.fbx,idle,1,570144,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Action Idle To Fight Idle.fbx,Action Idle To Fight Idle.fbx,combat,1,376640,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Action Idle To Standing Idle.fbx,Action Idle To Standing Idle.fbx,idle,1,369072,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Administering Cpr.fbx,Administering Cpr.fbx,medical,1,992368,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Aerial Evade.fbx,Aerial Evade.fbx,combat,1,679040,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Agony.fbx,Agony.fbx,medical,1,554944,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Agreeing.fbx,Agreeing.fbx,social,1,467184,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Aim Pistol (1).fbx,Aim Pistol (1).fbx,combat,2,659760,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Aim Pistol.fbx,Aim Pistol.fbx,combat,2,659760,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Aiming Gun.fbx,Aiming Gun.fbx,combat,1,509472,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Air Squat (1).fbx,Air Squat (1).fbx,other,2,470880,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Air Squat Bent Arms.fbx,Air Squat Bent Arms.fbx,other,1,470880,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Air Squat.fbx,Air Squat.fbx,other,2,470880,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Angry (1).fbx,Angry (1).fbx,social,2,1688448,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Angry Gesture (1).fbx,Angry Gesture (1).fbx,social,4,633680,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Angry Gesture (2).fbx,Angry Gesture (2).fbx,social,4,512720,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Angry Gesture (3).fbx,Angry Gesture (3).fbx,social,4,786448,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Angry Gesture.fbx,Angry Gesture.fbx,social,4,633680,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Angry Point.fbx,Angry Point.fbx,social,1,539168,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Angry.fbx,Angry.fbx,social,2,1688448,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Annoyed Head Shake.fbx,Annoyed Head Shake.fbx,other,1,512720,b50b5b2,license-review-required
SourceAssets/Animations/Raw/Unverified/Arm Gesture.fbx,Arm Gesture.fbx,social,1,648800,b50b5b2,license-review-required
