Pack,Clip,License,Runtime Selected,Intended Use
UAL1 Standard,A_TPose,CC0 1.0,No,Source bind pose
UAL1 Standard,Crouch_Fwd_Loop,CC0 1.0,No,Deferred crouch traversal
UAL1 Standard,Crouch_Idle_Loop,CC0 1.0,No,Deferred crouch traversal
UAL1 Standard,Dance_Loop,CC0 1.0,Yes,Market and social activity
UAL1 Standard,Death01,CC0 1.0,No,No current death gameplay
UAL1 Standard,Driving_Loop,CC0 1.0,Yes,Future occupied traffic
UAL1 Standard,Fixing_Kneeling,CC0 1.0,Yes,Maintenance activity
UAL1 Standard,Hit_Chest,CC0 1.0,No,No current combat reaction
UAL1 Standard,Hit_Head,CC0 1.0,No,No current combat reaction
UAL1 Standard,Idle_Loop,CC0 1.0,Yes,Neutral character idle
UAL1 Standard,Idle_Talking_Loop,CC0 1.0,Yes,Dialogue presentation
UAL1 Standard,Idle_Torch_Loop,CC0 1.0,No,No torch prop
UAL1 Standard,Interact,CC0 1.0,Yes,World interaction
UAL1 Standard,Jog_Fwd_Loop,CC0 1.0,Yes,Hero locomotion
UAL1 Standard,Jump_Land,CC0 1.0,Yes,Jump landing
UAL1 Standard,Jump_Loop,CC0 1.0,Yes,Jump airborne phase
UAL1 Standard,Jump_Start,CC0 1.0,Yes,Jump takeoff
UAL1 Standard,PickUp_Table,CC0 1.0,Yes,Countertop interaction
UAL1 Standard,Pistol_Aim_Down,CC0 1.0,No,No pistol gameplay
UAL1 Standard,Pistol_Aim_Neutral,CC0 1.0,No,No pistol gameplay
UAL1 Standard,Pistol_Aim_Up,CC0 1.0,No,No pistol gameplay
UAL1 Standard,Pistol_Idle_Loop,CC0 1.0,No,No pistol gameplay
UAL1 Standard,Pistol_Reload,CC0 1.0,No,No pistol gameplay
UAL1 Standard,Pistol_Shoot,CC0 1.0,No,No pistol gameplay
UAL1 Standard,Punch_Cross,CC0 1.0,No,No melee gameplay
UAL1 Standard,Punch_Jab,CC0 1.0,No,No melee gameplay
UAL1 Standard,Push_Loop,CC0 1.0,No,No pushing gameplay
UAL1 Standard,Roll,CC0 1.0,No,No dodge-roll gameplay
UAL1 Standard,Sitting_Enter,CC0 1.0,Yes,Seated state transition
UAL1 Standard,Sitting_Exit,CC0 1.0,Yes,Seated state transition
UAL1 Standard,Sitting_Idle_Loop,CC0 1.0,Yes,Seated ambient activity
UAL1 Standard,Sitting_Talking_Loop,CC0 1.0,Yes,Seated dialogue
UAL1 Standard,Spell_Simple_Enter,CC0 1.0,No,No magic gameplay
UAL1 Standard,Spell_Simple_Exit,CC0 1.0,No,No magic gameplay
UAL1 Standard,Spell_Simple_Idle_Loop,CC0 1.0,No,No magic gameplay
UAL1 Standard,Spell_Simple_Shoot,CC0 1.0,No,No magic gameplay
UAL1 Standard,Sprint_Loop,CC0 1.0,Yes,Fast hero locomotion
UAL1 Standard,Swim_Fwd_Loop,CC0 1.0,No,No swimming gameplay
UAL1 Standard,Swim_Idle_Loop,CC0 1.0,No,No swimming gameplay
UAL1 Standard,Sword_Attack,CC0 1.0,No,No sword gameplay
UAL1 Standard,Sword_Idle,CC0 1.0,No,No sword gameplay
UAL1 Standard,Walk_Formal_Loop,CC0 1.0,Yes,Formal indoor locomotion
UAL1 Standard,Walk_Loop,CC0 1.0,Yes,Standard locomotion
UAL2 Standard,A_TPose,CC0 1.0,No,Duplicate source bind pose
UAL2 Standard,Chest_Open,CC0 1.0,Yes,Container interaction
UAL2 Standard,ClimbUp_1m,CC0 1.0,No,No climbing gameplay
