id,absPath,path,fileName,ext,kind,sizeBytes,sizeMB,sha256,area,category,subCategory,sourcePack,origin,license,licenseEvidence,licenseFile,classification,classificationReason,riskLevel,brandFlag,duplicateGroupId,duplicateCount,duplicateOf,dupWasteBytes,gameReady,publishedSafe,notes,scannedAt
Animations_16b424767f69,E:\temp projects\shenron-city\SourceAssets\Animations\README.md,Animations/README.md,README.md,.md,license,751,0.001,16b424767f69ac160e26b741942149c3152aec39ddea5178fda5f6334ee5b6e6,Animations,Animations,README.md,Unknown,Unknown,None,,Animations/README.md,QUARANTINE,No license evidence,MED,,,,,0,false,false,,2026-08-05T19:20:52Z
Animations_7d2e0a7e8df9,E:\temp projects\shenron-city\SourceAssets\Animations\Reviewed\QuaterniusUniversal\LICENSE.txt,Animations/Reviewed/QuaterniusUniversal/LICENSE.txt,LICENSE.txt,.txt,license,329,0,7d2e0a7e8df9e277c194e7ef1891c44ddc6c5075f5171479d612c24b3605ad31,Animations,Animations,Reviewed,Kenney / Quaternius (props),"Kenney, Quaternius",CC0 1.0,,Animations/Reviewed/QuaterniusUniversal/LICENSE.txt,APPROVED_PUBLIC_SOURCE,"License.txt present (FurnitureKit, Quaternius props)",LOW,,5370,2,Models/Characters/QuaterniusUniversal/LICENSE.txt,329,true,true,,2026-08-05T19:20:52Z
Animations_bd8de3608fb7,E:\temp projects\shenron-city\SourceAssets\Animations\Reviewed\QuaterniusUniversal\README.md,Animations/Reviewed/QuaterniusUniversal/README.md,README.md,.md,license,1483,0.001,bd8de3608fb79ae1e3840fe98a333aab2a87d7b3b86596c1bff31be59f273554,Animations,Animations,Reviewed,Kenney / Quaternius (props),"Kenney, Quaternius",CC0 1.0,,Animations/Reviewed/QuaterniusUniversal/README.md,APPROVED_PUBLIC_SOURCE,"License.txt present (FurnitureKit, Quaternius props)",LOW,,,,,0,true,true,,2026-08-05T19:20:52Z
Audio_470bcceb3b86,E:\temp projects\shenron-city\SourceAssets\Audio\README.md,Audio/README.md,README.md,.md,license,245,0,470bcceb3b86c0e7bc08f35e3728fb42f2aa7aaeec5f331efe56e29dead2878d,Audio,Audio,README.md,Unknown,Unknown,None,,Audio/README.md,QUARANTINE,No license evidence,MED,,,,,0,false,false,,2026-08-05T19:20:52Z
Blender_966a44119c6a,E:\temp projects\shenron-city\SourceAssets\Blender\README.md,Blender/README.md,README.md,.md,license,1289,0.001,966a44119c6a53526a4a59460da4acfd60756f6f91431f7ed511d4829c32eae1,Blender,Blender,README.md,In-house scripts,Shenron City team,In-house,,Blender/README.md,APPROVED_LOCAL,Working scripts/documents,LOW,,,,,0,true,true,,2026-08-05T19:20:52Z
Catalogs_1cb2a49ce227,E:\temp projects\shenron-city\SourceAssets\Catalogs\README.md,Catalogs/README.md,README.md,.md,license,438,0,1cb2a49ce2273baf88b94a47acd9a2a6f21359a909e2e287ecd2fa75ea9f0080,Catalogs,Catalogs,README.md,In-house catalogs,Shenron City team,In-house,,Catalogs/README.md,APPROVED_LOCAL,Download catalogs / receipts,LOW,,,,,0,true,true,,2026-08-05T19:20:52Z
Materials_415f3a439d40,E:\temp projects\shenron-city\SourceAssets\Materials\README.md,Materials/README.md,README.md,.md,license,223,0,415f3a439d4062237df43e219abb8bd8ace6a7a20331604dc80296a5d3d83e84,Materials,Materials,README.md,In-house docs,Shenron City team,In-house,,Materials/README.md,APPROVED_LOCAL,Reference documentation,LOW,,,,,0,true,true,,2026-08-05T19:20:52Z
Models_03f8b60939fd,E:\temp projects\shenron-city\SourceAssets\Models\Architecture\KenneyCityKitCommercial\LICENSE.txt,Models/Architecture/KenneyCityKitCommercial/LICENSE.txt,LICENSE.txt,.txt,license,349,0,03f8b60939fd1a8a9ad8e76aabea7e9ada09267d7e2290b841884895d12f3b91,Models,Models,Architecture,Unknown,Unknown,None,,Models/Architecture/KenneyCityKitCommercial/LICENSE.txt,QUARANTINE,No license evidence in Models area (Architecture/Environment/Props/Vegetation/Characters),HIGH,,,,,0,false,false,,2026-08-05T19:20:52Z
Models_be25047c26de,E:\temp projects\shenron-city\SourceAssets\Models\Architecture\KenneyCityKitCommercial\README.md,Models/Architecture/KenneyCityKitCommercial/README.md,README.md,.md,license,541,0.001,be25047c26deff73024d0cc7f03d91a929674026ac016d18fac5599f13bb4c95,Models,Models,Architecture,Unknown,Unknown,None,,Models/Architecture/KenneyCityKitCommercial/README.md,QUARANTINE,No license evidence in Models area (Architecture/Environment/Props/Vegetation/Characters),HIGH,,,,,0,false,false,,2026-08-05T19:20:52Z
Models_e361d6b6724a,E:\temp projects\shenron-city\SourceAssets\Models\Architecture\Manhattan_Buildings\Skyscraper.glb,Models/Architecture/Manhattan_Buildings/Skyscraper.glb,Skyscraper.glb,.glb,primary,88336,0.084,e361d6b6724ac0d17810a5fc92725a728eb87ebeb02066ff11809d5ab4202756,Models,Models,Architecture,Unknown,Unknown,None,,,QUARANTINE,No license evidence in Models area (Architecture/Environment/Props/Vegetation/Characters),HIGH,,255,3,Models/Architecture/Manhattan_Buildings/Skyscraper_02.glb,176672,false,false,,2026-08-05T19:20:52Z
