ecosystem,catalog_index,asset_name,botanical_or_pack_detail,individual_license_override,public_github_decision
"Kitchen Herbs",1,"Basil","Ocimum basilicum",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Kitchen Herbs",2,"Oregano","Origanum vulgare",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Kitchen Herbs",3,"Thyme","Thymus vulgaris",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Kitchen Herbs",4,"Chives","Allium schoenoprasum",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Kitchen Herbs",5,"Garden Cress","Lepidium sativum",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Garden Glory",1,"Spring Meadow","0 assets",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Garden Glory",2,"Pussy Willow hanging","0 assets",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Garden Glory",3,"Daffodil Lawn","1 assets",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Garden Glory",4,"Pussy Willow","Salix caprea",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Garden Glory",5,"Snowdrop","Galanthus nivalis",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Garden Glory",6,"Tulip","Tulipa praestans",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Garden Glory",7,"Bark Mulch","Bark mulch",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Garden Glory",8,"Spring Snowflake","Leucojum vernum",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Garden Glory",9,"Spring Crocus","Crocus vernus",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Garden Glory",10,"Daffodil","Narcissus pseudonarcissus",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Kugelfangtrift",1,"Common Stork's-bill","Erodium cicutarium",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Kugelfangtrift",2,"Open Waseland","0 assets",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Kugelfangtrift",3,"Dense Bushland","7 assets",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Kugelfangtrift",4,"Red Dogwood","Cornus sanguinea",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Kugelfangtrift",5,"Wild Lettuce","Lactuca virosa",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Kugelfangtrift",6,"Wood Dead","Coarse Woody Debris",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Kugelfangtrift",7,"Dog Rose","Rosa canina",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Kugelfangtrift",8,"Soft Rush","Juncus conglomeratus",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Kugelfangtrift",9,"Red Fescue","Festuca rubra",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Kugelfangtrift",10,"Thrift Seapink","Armeria maritima",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Urban Wilderness",1,"Broadleaf Plantain","Plantago major",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Urban Wilderness",2,"Overgrown Ground Bricks","0 assets",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Urban Wilderness",3,"Hanging Birch Twigs","0 assets",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Urban Wilderness",4,"Smooth Rupturewort","Herniaria glabra",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Urban Wilderness",5,"Canadian Fleabane","Erigeron canadensis",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Urban Wilderness",6,"Wall Barley","Hordeum murinum",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Urban Wilderness",7,"Crab Finger Grass","Digitaria sanguinalis",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Urban Wilderness",8,"English Cinquefoil","Potentilla anglica",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Urban Wilderness",9,"Common Maidenhair","Asplenium trichomanes",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Urban Wilderness",10,"Knotgrass","Polygonum aviculare",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Urban Wilderness",11,"Field Thistle","Cirsium arvense",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Urban Wilderness",12,"Common Birch","Betula pendula",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Urban Wilderness",13,"Old-man's-beard","Clematis vitalba",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Urban Wilderness",14,"Creeping Bellflower","Campanula rapunculoides",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Urban Wilderness",15,"Sycamore Maple leaves","Acer pseudoplatanus",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Urban Wilderness",16,"Red buckeye leaves","Aesculus pavia",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Urban Wilderness",17,"Wall-rue","Asplenium ruta-muraria",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Bee Meadow",1,"Perennial Ryegrass","Lolium Perrenne",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Bee Meadow",2,"The Colorful Mix","0 assets",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Bee Meadow",3,"Red Spots","0 assets",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Bee Meadow",4,"Life in the Chamomile Meadow","5 assets",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Bee Meadow",5,"Golden Meadow","4 assets",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Bee Meadow",6,"Dry Clover Field","4 assets",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Bee Meadow",7,"Dominate White","3 assets",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Bee Meadow",8,"Wild Chamomile","Matricaria chamomilla",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Bee Meadow",9,"Viper's Bugloss","Echium vulgare",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Bee Meadow",10,"Common Yarrow","Achillea millefolium",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Bee Meadow",11,"Hoary Alison","Berteroa incana",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Bee Meadow",12,"Shepherd's Purse","Capsella bursa-pastoris",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Bee Meadow",13,"Cheat Grass","Vulpia bromoides",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Bee Meadow",14,"Dyer's Woad","Isatis tinctoria",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Bee Meadow",15,"Small-flowered Cranesbill","Geranium pusillum",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Bee Meadow",16,"Common Poppy","Papaver rhoeas",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Bee Meadow",17,"Golden Marguerite","Anthemis tinctoria",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Bee Meadow",18,"Bladder Campion","Silene vulgaris",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Bee Meadow",19,"Field Clover","Trifolium campestre",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Bee Meadow",20,"Musk Mallow","Malva moschata",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Eilenriede Forest",1,"Sparse Forest Floor","0 assets",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Eilenriede Forest",2,"Dense Ferns","4 assets",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Eilenriede Forest",3,"Moss Covered Ground","4 assets",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Eilenriede Forest",4,"Maple Woodland","0 assets",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Eilenriede Forest",5,"Gentle Wilderness","5 assets",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Eilenriede Forest",6,"Autumn Leaves Ground","0 assets",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Eilenriede Forest",7,"Unspotted Lungwort","Pulmonaria obscura",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Eilenriede Forest",8,"Scouringrush Horsetail","Equisetum hyemale",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Eilenriede Forest",9,"Common Wood Sorrel","Oxalis acetosella",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Eilenriede Forest",10,"Common Oak","Quercus robur",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Eilenriede Forest",11,"Ground Elder","Aegopodium podagraria",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Eilenriede Forest",12,"Ground Elder","Aegopodium podagraria",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Eilenriede Forest",13,"Ground Ivy","Glechoma hederacea",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Eilenriede Forest",14,"European Ash","Fraxinus excelsior",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Eilenriede Forest",15,"Enchanter's Nightshade","Circaea lutetiana",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Eilenriede Forest",16,"Common Ivy","Hedera helix",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Eilenriede Forest",17,"Blackberry","Rubus plicatus",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Eilenriede Forest",18,"Herb-Robert","Geranium robertianum",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Eilenriede Forest",19,"Yellow Archangel","Lamium galeobdolon",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Eilenriede Forest",20,"Early Dog-violet","Viola reichenbachiana",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Eilenriede Forest",21,"Sweet Woodruff","Galium odoratum",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Eilenriede Forest",22,"Sycamore Maple Leaves","Acer pseudoplatanus",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Eilenriede Forest",23,"Small-leaved Lime","Tilia cordata",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Eilenriede Forest",24,"Bank Haircap Moss","Polytrichum formosum",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Eilenriede Forest",25,"Glittering Wood-moss","Hylocomium splendens",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Eilenriede Forest",26,"Common Oak Leaves","Quercus robur",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Eilenriede Forest",27,"Small Balsam","Impatiens parviflora",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Eilenriede Forest",28,"Wood Avens","Geum urbanum",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Eilenriede Forest",29,"Debris Sticks","",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Eilenriede Forest",30,"European Beech Leaves","Fagus sylvatica",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Eilenriede Forest",31,"European Beech","Fagus sylvatica",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Eilenriede Forest",32,"Lady Fern","Athyrium filix femina",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Eilenriede Forest",33,"Branches","",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Eilenriede Forest",34,"Wood-sedge","Carex sylvatica",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Eilenriede Forest",35,"Sycamore Maple","Acer pseudoplatanus",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Pathside",1,"White Clover Meadow","0 assets",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Pathside",2,"Serene Meadow Path","0 assets",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Pathside",3,"Faded Dandelion Meadow","0 assets",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Pathside",4,"Essential Green Meadow","5 assets",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Pathside",5,"Summer Meadow","0 assets",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Pathside",6,"Forest Ground Dense","11 assets",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Pathside",7,"Yellow Oatgrass","Trisetum flavescens",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Pathside",8,"Orchard Grass","Dactylis glomerata",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Pathside",9,"Dandelion","Taraxacum officinale",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Pathside",10,"White Clover","Trifolium repens",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Pathside",11,"Perennial Ryegrass","Lolium perenne",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Pathside",12,"Smooth Meadow-grass","Poa pratensis",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Pathside",13,"Broadleaf Plantain","Plantago major",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Pathside",14,"Narrow-leaf Plantain","Plantago lanceolata",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Field Meadow",1,"Wild Flowers","0 assets",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Field Meadow",2,"Wild Field Meadow","7 assets",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Field Meadow",3,"Wild Dewberry Oasis","0 assets",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Field Meadow",4,"Forest Ground Sparse","4 assets",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Field Meadow",5,"Forest Ground Moderate","0 assets",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Field Meadow",6,"Blooming Dandelion Meadow","6 assets",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Field Meadow",7,"European Dewberry","Rubus caesius",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Field Meadow",8,"Tansy Mustard","Descurainia sophia",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Field Meadow",9,"Welted Thistle","Carduus crispus",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Field Meadow",10,"Cow Parsley","Anthriscus sylverstris",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Field Meadow",11,"Greater Celandine","Chelidonium majus",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Field Meadow",12,"Common Penny-Cress","Thlaspi arvense",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Field Meadow",13,"Common Mugwort","Artemisia vulgaris",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Field Meadow",14,"Sticky Willy","Galium aparine",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Field Meadow",15,"Ivy-leaved Speedwell","Veronica hederifolia",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Field Meadow",16,"Perennial Ryegrass","Lolium perenne",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Field Meadow",17,"Common Hop","Humulus lupulus",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Field Meadow",18,"Shepherd's Purse","Capsella bursa-pastoris",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Field Meadow",19,"Great Burdock","Arctium lappa",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Field Meadow",20,"Great Burdock","Arctium lappa",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Field Meadow",21,"Meadow Foxtail","Alopecurus pratensis",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Field Meadow",22,"Yellow Oatgrass","Trisetum flavescens",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Field Meadow",23,"Sweet Violet","Viola odorata",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Field Meadow",24,"Long Smooth-headed Poppy","Papaver dubium",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Field Meadow",25,"White Dead-nettle","Lamium album",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Field Meadow",26,"Yorkshire-fog","Holcus lanatus",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Field Meadow",27,"Orchard Grass","Dactylis glomerata",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Field Meadow",28,"Barren Brome","Bromus sterilis",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Field Meadow",29,"Garlic Mustard","Alliaria petiolata",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Field Meadow",30,"Stinging Nettle","Urtica dioica",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Field Meadow",31,"Narrow-leaf Plantain","Plantago lanceolata",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Field Meadow",32,"Lambs Quarters","Chenopodium album",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Field Meadow",33,"Spear Thistle","Cirsium vulgare",none,"blocked: global non-commercial EULA; no standalone redistribution"
"Field Meadow",34,"Dandelion","Taraxacum officinale",none,"blocked: global non-commercial EULA; no standalone redistribution"
